Date;Bullish;Neutral
7-24-87;36,0%;50,0%
7-31-87;26,0%;48,0%
8-7-87;56,0%;15,0%
8-14-87;45,0%;35,0%
8-21-87;66,0%;28,0%
8-28-87;52,0%;18,0%
9-4-87;42,0%;17,0%
9-11-87;50,0%;23,0%
9-18-87;60,0%;29,0%
9-25-87;53,0%;17,0%
10-2-87;44,0%;26,0%
10-9-87;46,0%;39,0%
10-16-87;37,0%;30,0%
10-23-87;39,0%;30,0%
10-30-87;44,0%;23,0%
11-6-87;47,0%;31,0%
11-13-87;31,0%;41,0%
11-20-87;39,0%;42,0%
11-27-87;27,0%;46,0%
12-4-87;25,0%;33,0%
12-11-87;23,0%;45,0%
12-18-87;33,0%;40,0%
12-24-87;28,0%;52,0%
12-31-87;25,0%;49,0%
1-8-88;34,0%;46,0%
1-15-88;34,0%;40,0%
1-22-88;21,0%;48,0%
1-29-88;26,0%;45,0%
2-5-88;32,0%;53,0%
2-12-88;32,0%;46,0%
2-19-88;27,0%;49,0%
2-26-88;30,0%;51,0%
3-4-88;38,0%;40,0%
3-11-88;43,0%;40,0%
3-18-88;41,0%;49,0%
3-25-88;45,0%;38,0%
4-1-88;35,0%;45,0%
4-8-88;33,0%;48,0%
4-15-88;23,0%;53,0%
4-22-88;23,0%;57,0%
4-29-88;22,0%;48,0%
5-6-88;38,0%;42,0%
5-13-88;19,0%;56,0%
5-20-88;23,0%;52,0%
5-27-88;28,0%;52,0%
6-3-88;26,0%;62,0%
6-10-88;28,0%;49,0%
6-17-88;29,0%;50,0%
6-24-88;33,0%;44,0%
7-1-88;45,0%;38,0%
7-8-88;35,0%;50,0%
7-15-88;26,0%;37,0%
7-22-88;16,0%;58,0%
7-29-88;23,0%;54,0%
8-5-88;21,0%;49,0%
8-12-88;26,0%;48,0%
8-19-88;19,0%;53,0%
8-26-88;28,0%;40,0%
9-2-88;18,0%;43,0%
9-9-88;17,0%;52,0%
9-16-88;24,0%;46,0%
9-23-88;20,0%;53,0%
9-30-88;26,0%;44,0%
10-7-88;13,0%;49,0%
10-14-88;22,0%;46,0%
10-21-88;26,0%;51,0%
10-28-88;40,0%;38,0%
11-4-88;35,0%;46,0%
11-11-88;23,0%;56,0%
11-18-88;30,0%;34,0%
11-25-88;17,0%;44,0%
12-2-88;19,0%;47,0%
12-9-88;17,0%;44,0%
12-16-88;24,0%;54,0%
12-23-88;22,0%;46,0%
12-30-88;24,0%;54,0%
1-6-89;26,0%;51,0%
1-13-89;36,0%;44,0%
1-20-89;36,0%;47,0%
1-27-89;32,0%;49,0%
2-3-89;33,0%;44,0%
2-10-89;43,0%;31,0%
2-17-89;42,0%;41,0%
2-24-89;29,0%;45,0%
3-3-89;29,0%;35,0%
3-10-89;13,0%;52,0%
3-17-89;28,0%;43,0%
3-23-89;29,0%;41,0%
3-31-89;18,0%;42,0%
4-7-89;23,0%;45,0%
4-14-89;25,0%;42,0%
4-21-89;21,0%;51,0%
4-28-89;31,0%;40,0%
5-5-89;30,0%;40,0%
5-12-89;38,0%;43,0%
5-19-89;43,0%;38,0%
5-26-89;48,0%;31,0%
6-2-89;42,0%;27,0%
6-9-89;43,0%;34,0%
6-16-89;32,0%;37,0%
6-23-89;33,0%;22,0%
6-30-89;40,0%;34,0%
7-7-89;37,0%;32,0%
7-14-89;22,0%;30,0%
7-21-89;32,0%;39,0%
7-28-89;41,0%;25,0%
8-4-89;35,0%;30,0%
8-11-89;53,0%;21,0%
8-18-89;35,0%;28,0%
8-25-89;45,0%;24,0%
9-1-89;34,0%;30,0%
9-8-89;30,0%;30,0%
9-15-89;31,0%;44,0%
9-22-89;24,0%;37,0%
9-29-89;33,0%;38,0%
10-6-89;24,0%;43,0%
10-13-89;28,0%;52,0%
10-20-89;39,0%;28,0%
10-27-89;36,0%;33,0%
11-3-89;37,0%;31,0%
11-10-89;27,0%;37,0%
11-17-89;24,0%;28,0%
11-22-89;27,0%;40,0%
12-1-89;28,0%;40,0%
12-8-89;31,0%;41,0%
12-15-89;42,0%;30,0%
12-22-89;36,0%;32,0%
12-29-89;35,0%;31,0%
1-5-90;40,0%;30,0%
1-12-90;45,0%;38,0%
1-19-90;31,0%;49,0%
1-26-90;24,0%;38,0%
2-2-90;15,0%;37,0%
2-9-90;19,0%;30,0%
2-16-90;23,0%;43,0%
2-23-90;24,0%;38,0%
3-2-90;21,0%;37,0%
3-9-90;22,0%;42,0%
3-16-90;25,0%;35,0%
3-23-90;37,0%;39,0%
3-30-90;34,0%;35,0%
4-6-90;38,0%;37,0%
4-12-90;27,0%;56,0%
4-20-90;34,0%;43,0%
4-27-90;28,0%;35,0%
5-4-90;20,0%;35,0%
5-11-90;28,0%;38,0%
5-18-90;37,0%;35,0%
5-25-90;39,0%;32,0%
6-1-90;37,0%;28,0%
6-8-90;35,0%;35,0%
6-15-90;43,0%;32,0%
6-22-90;34,0%;32,0%
6-29-90;31,0%;31,0%
7-6-90;28,0%;34,0%
7-13-90;40,0%;30,0%
7-20-90;40,0%;30,0%
7-27-90;52,0%;24,0%
8-3-90;26,0%;28,0%
8-10-90;25,0%;21,0%
8-17-90;18,0%;23,0%
8-24-90;25,0%;24,0%
8-31-90;23,0%;16,0%
9-7-90;33,0%;18,0%
9-14-90;16,0%;33,0%
9-21-90;13,0%;31,0%
9-28-90;26,0%;20,0%
10-5-90;15,0%;26,0%
10-12-90;21,0%;27,0%
10-19-90;13,0%;20,0%
10-26-90;23,0%;19,0%
11-2-90;20,0%;36,0%
11-9-90;20,0%;32,0%
11-16-90;12,0%;33,0%
11-21-90;16,0%;37,0%
11-30-90;22,0%;33,0%
12-7-90;26,0%;33,0%
12-14-90;31,0%;31,0%
12-21-90;16,0%;34,0%
12-28-90;30,0%;30,0%
1-4-91;31,0%;39,0%
1-11-91;22,0%;30,0%
1-18-91;22,0%;27,0%
1-25-91;25,0%;25,0%
2-1-91;29,0%;29,0%
2-8-91;36,0%;28,0%
2-15-91;46,0%;30,0%
2-22-91;57,0%;20,0%
3-1-91;50,0%;18,0%
3-8-91;50,0%;21,0%
3-15-91;55,0%;22,0%
3-22-91;42,0%;31,0%
3-29-91;47,0%;28,0%
4-5-91;58,0%;22,0%
4-12-91;43,0%;32,0%
4-19-91;39,0%;39,0%
4-26-91;55,0%;28,0%
5-3-91;39,0%;33,0%
5-10-91;38,0%;34,0%
5-17-91;42,0%;32,0%
5-24-91;38,0%;39,0%
5-31-91;42,0%;35,0%
6-7-91;46,0%;37,0%
6-14-91;47,0%;31,0%
6-21-91;44,0%;40,0%
6-28-91;28,0%;37,0%
7-3-91;28,0%;39,0%
7-12-91;41,0%;39,0%
7-19-91;27,0%;51,0%
7-26-91;35,0%;42,0%
8-2-91;33,0%;36,0%
8-9-91;26,0%;45,0%
8-16-91;37,0%;33,0%
8-23-91;32,0%;36,0%
8-30-91;41,0%;40,0%
9-6-91;36,0%;31,0%
9-13-91;43,0%;39,0%
9-20-91;32,0%;48,0%
9-27-91;31,0%;38,0%
10-4-91;35,0%;30,0%
10-11-91;39,0%;37,0%
10-18-91;30,0%;31,0%
10-25-91;31,0%;36,0%
11-1-91;52,0%;12,0%
11-8-91;32,0%;36,0%
11-15-91;38,0%;33,0%
11-22-91;48,0%;32,0%
11-27-91;33,0%;27,0%
12-6-91;23,0%;32,0%
12-13-91;33,0%;36,0%
12-20-91;36,0%;30,0%
12-27-91;39,0%;29,0%
1-3-92;49,0%;20,0%
1-10-92;48,0%;27,0%
1-17-92;51,0%;21,0%
1-24-92;46,0%;25,0%
1-31-92;47,0%;26,0%
2-7-92;36,0%;39,0%
2-14-92;46,0%;28,0%
2-21-92;47,0%;25,0%
2-28-92;43,0%;36,0%
3-6-92;45,0%;29,0%
3-13-92;38,0%;35,0%
3-20-92;48,0%;29,0%
3-27-92;43,0%;35,0%
4-3-92;35,0%;42,0%
4-10-92;43,0%;27,0%
4-17-92;37,0%;38,0%
4-24-92;52,0%;34,0%
5-1-92;29,0%;36,0%
5-8-92;43,0%;31,0%
5-15-92;40,0%;37,0%
5-22-92;48,0%;24,0%
5-29-92;41,0%;43,0%
6-5-92;41,0%;40,0%
6-12-92;31,0%;46,0%
6-19-92;35,0%;37,0%
6-26-92;39,0%;34,0%
7-2-92;21,0%;44,0%
7-9-92;23,0%;42,0%
7-17-92;29,0%;40,0%
7-24-92;32,0%;44,0%
7-31-92;22,0%;47,0%
8-5-92;28,0%;39,0%
8-14-92;26,0%;37,0%
8-21-92;22,0%;34,0%
8-28-92;30,0%;37,0%
9-4-92;14,0%;44,0%
9-11-92;22,0%;39,0%
9-18-92;21,0%;42,0%
9-25-92;25,0%;34,0%
10-2-92;30,0%;35,0%
10-9-92;21,0%;35,0%
10-16-92;20,0%;24,0%
10-23-92;21,0%;32,0%
10-30-92;35,0%;35,0%
11-6-92;49,0%;27,0%
11-13-92;37,0%;44,0%
11-20-92;48,0%;38,0%
11-25-92;43,0%;37,0%
12-4-92;37,0%;39,0%
12-11-92;43,0%;42,0%
12-18-92;63,0%;27,0%
12-24-92;55,0%;30,0%
1-1-93;60,0%;27,0%
1-8-93;20,0%;49,0%
1-15-93;54,0%;32,0%
1-22-93;41,0%;38,0%
1-29-93;40,0%;37,0%
2-5-93;44,0%;34,0%
2-12-93;47,0%;31,0%
2-19-93;46,0%;27,0%
2-26-93;34,0%;32,0%
3-5-93;27,0%;36,0%
3-12-93;45,0%;33,0%
3-19-93;41,0%;32,0%
3-26-93;43,0%;34,0%
4-2-93;37,0%;36,0%
4-9-93;32,0%;39,0%
4-16-93;31,0%;35,0%
4-23-93;28,0%;42,0%
4-30-93;22,0%;37,0%
5-7-93;21,0%;45,0%
5-14-93;20,0%;41,0%
5-21-93;21,0%;34,0%
5-28-93;24,0%;37,0%
6-4-93;33,0%;39,0%
6-11-93;23,0%;36,0%
6-18-93;22,0%;35,0%
6-25-93;28,0%;38,0%
7-2-93;18,0%;44,0%
7-9-93;21,0%;45,0%
7-16-93;22,0%;44,0%
7-23-93;24,0%;43,0%
7-30-93;25,0%;45,0%
8-6-93;26,0%;42,0%
8-13-93;25,0%;41,0%
8-20-93;29,0%;41,0%
8-27-93;27,0%;35,0%
9-3-93;38,0%;33,0%
9-10-93;30,0%;30,0%
9-17-93;32,0%;34,0%
9-24-93;28,0%;40,0%
10-1-93;26,0%;34,0%
10-8-93;29,0%;37,0%
10-15-93;31,0%;38,0%
10-22-93;42,0%;30,0%
10-29-93;43,0%;33,0%
11-4-93;32,0%;36,0%
11-11-93;35,0%;30,0%
11-18-93;34,0%;31,0%
11-24-93;45,0%;30,0%
12-2-93;33,0%;32,0%
12-9-93;37,0%;39,0%
12-16-93;33,0%;38,0%
12-23-93;36,0%;31,0%
12-30-93;44,0%;28,0%
1-6-94;40,0%;33,0%
1-13-94;38,0%;31,0%
1-20-94;48,0%;26,0%
1-27-94;41,0%;25,0%
2-3-94;38,0%;29,0%
2-10-94;49,0%;27,0%
2-17-94;40,0%;36,0%
2-24-94;41,0%;30,0%
3-3-94;31,0%;42,0%
3-10-94;29,0%;34,0%
3-17-94;24,0%;41,0%
3-24-94;29,0%;37,0%
3-31-94;23,0%;33,0%
4-7-94;28,0%;31,0%
4-14-94;29,0%;23,0%
4-21-94;26,0%;41,0%
4-28-94;27,0%;35,0%
5-5-94;32,0%;32,0%
5-12-94;38,0%;32,0%
5-19-94;22,0%;36,0%
5-26-94;29,0%;33,0%
6-2-94;39,0%;36,0%
6-9-94;28,0%;47,0%
6-16-94;32,0%;42,0%
6-23-94;29,0%;45,0%
6-30-94;32,0%;37,0%
7-7-94;28,0%;32,0%
7-14-94;25,0%;40,0%
7-21-94;34,0%;38,0%
7-28-94;27,0%;42,0%
8-4-94;22,0%;52,0%
8-11-94;34,0%;37,0%
8-18-94;30,0%;40,0%
8-25-94;32,0%;39,0%
9-1-94;43,0%;34,0%
9-8-94;47,0%;33,0%
9-15-94;45,0%;25,0%
9-22-94;37,0%;36,0%
9-29-94;38,0%;32,0%
10-6-94;33,0%;39,0%
10-13-94;35,0%;39,0%
10-20-94;39,0%;33,0%
10-27-94;43,0%;38,0%
11-3-94;40,0%;35,0%
11-10-94;37,0%;31,0%
11-17-94;39,0%;22,0%
11-23-94;39,0%;32,0%
11-30-94;44,0%;30,0%
12-8-94;30,0%;35,0%
12-15-94;33,0%;35,0%
12-22-94;42,0%;25,0%
12-29-94;40,0%;43,0%
1-5-95;44,0%;31,0%
1-12-95;36,0%;42,0%
1-19-95;37,0%;39,0%
1-26-95;38,0%;37,0%
2-2-95;38,0%;37,0%
2-9-95;34,0%;43,0%
2-16-95;43,0%;37,0%
2-23-95;46,0%;37,0%
3-2-95;53,0%;26,0%
3-9-95;48,0%;34,0%
3-16-95;39,0%;41,0%
3-23-95;47,0%;30,0%
3-30-95;52,0%;23,0%
4-6-95;42,0%;25,0%
4-13-95;40,0%;23,0%
4-20-95;37,0%;27,0%
4-27-95;52,0%;29,0%
5-4-95;42,0%;27,0%
5-11-95;44,0%;26,0%
5-18-95;42,0%;23,0%
5-25-95;44,0%;26,0%
6-1-95;39,0%;34,0%
6-8-95;44,0%;25,0%
6-15-95;36,0%;31,0%
6-22-95;48,0%;21,0%
6-29-95;35,0%;28,0%
7-6-95;35,0%;34,0%
7-13-95;44,0%;18,0%
7-20-95;43,0%;30,0%
7-27-95;41,0%;26,0%
8-3-95;38,0%;34,0%
8-10-95;40,0%;30,0%
8-17-95;36,0%;43,0%
8-24-95;35,0%;28,0%
8-31-95;38,0%;42,0%
9-7-95;37,0%;36,0%
9-14-95;46,0%;32,0%
9-21-95;46,0%;25,0%
9-28-95;42,0%;27,0%
10-5-95;39,0%;37,0%
10-12-95;41,0%;30,0%
10-19-95;47,0%;32,0%
10-26-95;46,0%;33,0%
11-2-95;47,0%;34,0%
11-9-95;49,0%;35,0%
11-16-95;46,0%;31,0%
11-22-95;48,0%;18,0%
11-30-95;51,0%;30,0%
12-7-95;48,0%;28,0%
12-14-95;51,0%;23,0%
12-21-95;48,0%;28,0%
12-28-95;46,0%;34,0%
1-4-96;55,0%;18,0%
1-11-96;#N/A;#N/A
1-18-96;42,0%;29,0%
1-25-96;36,0%;40,0%
2-1-96;54,0%;31,0%
2-8-96;53,0%;31,0%
2-15-96;54,0%;21,0%
2-22-96;49,0%;22,0%
2-29-96;45,0%;28,0%
3-7-96;44,0%;28,0%
3-14-96;36,0%;35,0%
3-21-96;47,0%;31,0%
3-28-96;45,0%;31,0%
4-4-96;40,0%;43,0%
4-11-96;40,0%;42,0%
4-18-96;36,0%;38,0%
4-25-96;28,0%;40,0%
5-2-96;48,0%;31,0%
5-9-96;46,0%;38,0%
5-16-96;37,0%;40,0%
5-23-96;51,0%;35,0%
5-30-96;61,0%;29,0%
6-6-96;47,0%;28,0%
6-13-96;49,0%;28,0%
6-20-96;42,0%;32,0%
6-27-96;42,0%;41,0%
7-3-96;32,0%;44,0%
7-11-96;40,0%;35,0%
7-18-96;29,0%;45,0%
7-25-96;30,0%;32,0%
8-1-96;29,0%;38,0%
8-8-96;27,0%;42,0%
8-15-96;43,0%;37,0%
8-22-96;28,0%;46,0%
8-29-96;28,0%;43,0%
9-5-96;29,0%;35,0%
9-12-96;26,0%;46,0%
9-19-96;28,0%;41,0%
9-26-96;34,0%;39,0%
10-3-96;40,0%;31,0%
10-10-96;38,0%;36,0%
10-17-96;39,0%;36,0%
10-24-96;42,0%;33,0%
10-31-96;37,0%;29,0%
11-7-96;26,0%;45,0%
11-14-96;37,0%;34,0%
11-21-96;43,0%;30,0%
11-27-96;52,0%;27,0%
12-5-96;41,0%;26,0%
12-12-96;40,0%;28,0%
12-19-96;33,0%;28,0%
12-26-96;37,0%;33,0%
1-2-97;43,0%;33,0%
1-9-97;36,0%;39,0%
1-16-97;42,0%;32,0%
1-23-97;37,0%;41,0%
1-30-97;51,0%;33,0%
2-6-97;47,0%;29,0%
2-13-97;45,0%;37,0%
2-20-97;44,0%;36,0%
2-27-97;63,0%;22,0%
3-6-97;43,0%;37,0%
3-13-97;34,0%;36,0%
3-20-97;36,0%;42,0%
3-27-97;27,0%;40,0%
4-3-97;29,0%;40,0%
4-10-97;26,0%;37,0%
4-17-97;31,0%;41,0%
4-24-97;28,0%;40,0%
5-1-97;27,0%;44,0%
5-8-97;30,0%;44,0%
5-15-97;41,0%;36,0%
5-22-97;40,0%;35,0%
5-29-97;40,0%;40,0%
6-5-97;52,0%;33,0%
6-12-97;49,0%;35,0%
6-19-97;59,0%;26,0%
6-26-97;52,0%;25,0%
7-3-97;45,0%;30,0%
7-10-97;49,0%;33,0%
7-17-97;54,0%;30,0%
7-24-97;53,0%;25,0%
7-31-97;48,0%;26,0%
8-7-97;49,0%;28,0%
8-14-97;49,0%;30,0%
8-21-97;47,0%;33,0%
8-28-97;50,0%;28,0%
9-4-97;37,0%;38,0%
9-11-97;42,0%;36,0%
9-18-97;40,0%;44,0%
9-25-97;39,0%;42,0%
10-2-97;38,0%;43,0%
10-9-97;43,0%;43,0%
10-16-97;43,0%;36,0%
10-23-97;40,0%;46,0%
10-30-97;41,0%;36,0%
11-6-97;38,0%;37,0%
11-13-97;45,0%;38,0%
11-20-97;40,0%;38,0%
11-26-97;40,0%;40,0%
12-4-97;49,0%;33,0%
12-11-97;46,0%;37,0%
12-18-97;40,0%;41,0%
12-24-97;41,0%;36,0%
12-31-97;34,0%;35,0%
1-8-98;42,0%;40,0%
1-16-98;38,0%;45,0%
1-23-98;31,0%;39,0%
1-30-98;38,0%;42,0%
2-5-98;30,0%;45,0%
2-12-98;45,0%;36,0%
2-19-98;42,0%;43,0%
2-26-98;53,0%;33,0%
3-5-98;53,0%;34,0%
3-12-98;44,0%;36,0%
3-19-98;40,0%;38,0%
3-26-98;45,0%;35,0%
4-2-98;46,0%;32,0%
4-9-98;41,0%;36,0%
4-16-98;53,0%;32,0%
4-23-98;40,0%;38,0%
4-30-98;44,0%;31,0%
5-7-98;43,0%;34,0%
5-14-98;33,0%;41,0%
5-21-98;38,0%;39,0%
5-28-98;34,0%;40,0%
6-4-98;25,0%;44,0%
6-11-98;27,0%;49,0%
6-18-98;29,0%;38,0%
6-25-98;28,0%;44,0%
7-2-98;33,0%;48,0%
7-9-98;36,0%;44,0%
7-16-98;35,0%;44,0%
7-23-98;37,0%;39,0%
7-30-98;44,0%;36,0%
8-6-98;30,0%;44,0%
8-13-98;27,0%;38,0%
8-20-98;25,0%;42,0%
8-27-98;23,0%;32,0%
9-3-98;23,0%;37,0%
9-10-98;29,0%;31,0%
9-17-98;34,0%;35,0%
9-24-98;34,0%;38,0%
10-1-98;32,0%;35,0%
10-8-98;25,0%;43,0%
10-15-98;25,0%;34,0%
10-22-98;32,0%;35,0%
10-29-98;43,0%;36,0%
11-5-98;38,0%;42,0%
11-12-98;50,0%;36,0%
11-19-98;40,0%;42,0%
11-25-98;48,0%;35,0%
12-3-98;49,0%;30,0%
12-10-98;44,0%;30,0%
12-17-98;41,0%;34,0%
12-23-98;34,0%;34,0%
12-31-98;41,0%;37,0%
1-7-99;38,0%;39,0%
1-14-99;51,0%;28,0%
1-21-99;56,0%;24,0%
1-28-99;47,0%;33,0%
2-4-99;48,0%;38,0%
2-11-99;48,0%;35,0%
2-18-99;37,0%;39,0%
2-25-99;37,0%;39,0%
3-4-99;36,0%;45,0%
3-11-99;37,0%;42,0%
3-18-99;48,0%;31,0%
3-25-99;38,0%;33,0%
4-1-99;40,0%;35,0%
4-8-99;36,0%;38,0%
4-15-99;41,0%;31,0%
4-22-99;38,0%;32,0%
4-29-99;41,0%;32,0%
5-6-99;54,0%;32,0%
5-13-99;43,0%;31,0%
5-20-99;43,0%;31,0%
5-27-99;38,0%;42,0%
6-3-99;32,0%;36,0%
6-10-99;32,0%;40,0%
6-17-99;38,0%;35,0%
6-24-99;30,0%;39,0%
7-1-99;35,0%;38,0%
7-8-99;43,0%;36,0%
7-15-99;54,0%;28,0%
7-22-99;55,0%;23,0%
7-29-99;42,0%;38,0%
8-5-99;30,0%;46,0%
8-12-99;30,0%;40,0%
8-19-99;31,0%;46,0%
8-26-99;35,0%;40,0%
9-2-99;44,0%;38,0%
9-9-99;37,0%;38,0%
9-16-99;36,0%;43,0%
9-23-99;36,0%;36,0%
9-30-99;35,0%;42,0%
10-7-99;34,0%;38,0%
10-14-99;42,0%;39,0%
10-21-99;38,0%;37,0%
10-28-99;38,0%;38,0%
11-4-99;43,0%;35,0%
11-11-99;48,0%;26,0%
11-18-99;46,0%;32,0%
11-24-99;55,0%;28,0%
12-2-99;62,0%;25,0%
12-9-99;62,0%;27,0%
12-16-99;54,0%;26,0%
12-23-99;52,0%;31,0%
12-30-99;60,0%;25,0%
1-6-00;75,0%;11,7%
1-13-00;59,3%;22,2%
1-20-00;57,1%;25,0%
1-27-00;53,7%;25,9%
2-3-00;51,1%;24,4%
2-10-00;41,9%;30,2%
2-17-00;27,3%;48,5%
2-24-00;41,4%;27,6%
3-2-00;36,7%;40,0%
3-8-00;58,3%;25,0%
3-16-00;50,0%;23,3%
3-23-00;65,7%;14,3%
3-30-00;38,9%;11,1%
4-6-00;45,8%;33,3%
4-13-00;51,9%;18,5%
4-20-00;63,7%;13,7%
4-27-00;61,3%;24,2%
5-4-00;34,8%;30,4%
5-11-00;30,2%;44,2%
5-18-00;35,3%;23,5%
5-25-00;34,9%;28,6%
6-1-00;41,7%;20,8%
6-8-00;61,5%;15,4%
6-15-00;43,8%;37,5%
6-22-00;26,7%;33,3%
7-6-00;56,1%;28,1%
7-13-00;65,0%;15,0%
7-20-00;66,7%;21,3%
7-27-00;42,9%;37,1%
8-3-00;41,3%;34,8%
8-10-00;54,1%;34,4%
8-17-00;59,4%;21,9%
8-23-00;57,7%;19,2%
8-31-00;55,9%;26,5%
9-7-00;62,5%;29,2%
9-14-00;41,2%;35,3%
9-21-00;43,8%;37,5%
9-28-00;53,3%;40,0%
10-5-00;41,9%;32,3%
10-12-00;41,5%;26,8%
10-19-00;48,9%;26,7%
10-26-00;64,1%;18,0%
