Datetime;FearGreed;rating
1718323200000;41.11428571428572;fear
1718582400000;43.285714285714285;fear
1718668800000;41.28571428571429;fear
1718841600000;38.714285714285715;fear
1718928000000;39.05714285714286;fear
1719187200000;37.77142857142858;fear
1719273600000;37.285714285714285;fear
1719360000000;40.88571428571429;fear
1719446400000;45.51428571428571;neutral
1719532800000;44.31428571428571;fear
1719792000000;47.94285714285714;neutral
1719878400000;49.74285714285714;neutral
1719964800000;48.371428571428574;neutral
1720137600000;49.714285714285715;neutral
1720396800000;51.057142857142864;neutral
1720483200000;50.57142857142856;neutral
1720569600000;54.60000000000001;neutral
1720656000000;49.4;neutral
1720742400000;54.371428571428574;neutral
1721001600000;57.74285714285715;greed
1721088000000;57.02857142857143;greed
1721174400000;46.114285714285714;neutral
1721260800000;45.94285714285714;neutral
1721347200000;43;fear
1721606400000;48.42857142857144;neutral
1721692800000;46.857142857142854;neutral
1721779200000;38.614285714285714;fear
1721865600000;39.07142857142857;fear
1721952000000;42.542857142857144;fear
1722211200000;42.07142857142857;fear
1722297600000;40.800000000000004;fear
1722384000000;46.885714285714286;neutral
1722470400000;42.68571428571429;fear
1722556800000;41.385714285714286;fear
1722816000000;33.05714285714286;fear
1722902400000;19.014285714285712;extreme fear
1722988800000;16.557142857142857;extreme fear
1723075200000;17.65714285714286;extreme fear
1723161600000;24.085714285714285;extreme fear
1723420800000;23.8;extreme fear
1723507200000;25.514285714285712;fear
1723593600000;26.428571428571434;fear
1723680000000;32.37142857142857;fear
1723766400000;33.74285714285715;fear
1724025600000;39.88571428571429;fear
1724112000000;44.68571428571429;fear
1724198400000;50.228571428571435;neutral
1724284800000;46.77142857142858;neutral
1724371200000;51.57142857142857;neutral
1724630400000;52.94285714285714;neutral
1724716800000;52.28571428571429;neutral
1724803200000;51.08571428571429;neutral
1724889600000;56.057142857142864;greed
1724976000000;60.314285714285724;greed
1725321600000;56.34285714285714;greed
1725408000000;56.62857142857143;greed
1725494400000;50.62857142857143;neutral
1725580800000;39.34285714285715;fear
1725840000000;41.971428571428575;fear
1725926400000;39.6857142857143;fear
1726012800000;43.08571428571429;fear
1726099200000;42.97142857142857;fear
1726185600000;48.62857142857143;neutral
1726444800000;50.31428571428571;neutral
1726531200000;54.62857142857143;neutral
1726617600000;55.17142857142858;greed
1726704000000;63.80000000000001;greed
1726790400000;61.2;greed
1727049600000;63.85714285714287;greed
1727136000000;66.42857142857143;greed
1727222400000;65.74285714285715;greed
1727308800000;70.74285714285713;greed
1727395200000;67.31428571428572;greed
1727654400000;73.6857142857143;greed
1727740800000;70.31428571428572;greed
1727827200000;70.57142857142857;greed
1727913600000;69.42857142857143;greed
1728000000000;71.4;greed
1728259200000;70.82857142857144;greed
1728345600000;71.17142857142856;greed
1728432000000;71.14285714285715;greed
1728518400000;70.28571428571429;greed
1728604800000;71.65714285714286;greed
1728864000000;74.22857142857143;greed
1728950400000;71.14285714285715;greed
1729036800000;69.02857142857142;greed
1729123200000;68.57142857142857;greed
1729209600000;72.42857142857143;greed
1729468800000;69.8;greed
1729555200000;70.37142857142858;greed
1729641600000;63.199999999999996;greed
1729728000000;62.94285714285714;greed
1729814400000;58.74285714285715;greed
1730073600000;60.85714285714287;greed
1730160000000;60.057142857142864;greed
1730246400000;57.2;greed
1730332800000;40.45714285714286;fear
1730419200000;50.48571428571429;neutral
1730678400000;42.42857142857143;fear
1730764800000;43.54285714285715;fear
1730851200000;44;fear
1730937600000;59.05714285714286;greed
1731024000000;59.42857142857144;greed
1731283200000;66.6;greed
1731369600000;66.71428571428571;greed
1731456000000;66.31428571428572;greed
1731542400000;60.314285714285724;greed
1731628800000;51.199999999999996;neutral
1731888000000;50.285714285714285;neutral
1731974400000;49.51428571428572;neutral
1732060800000;49.51428571428572;neutral
1732147200000;56.60000000000001;greed
1732233600000;60.71428571428572;greed
1732492800000;62.88571428571429;greed
1732579200000;65.91428571428573;greed
1732665600000;64.4;greed
1732838400000;65;greed
1733097600000;65.31428571428572;greed
1733184000000;59.57142857142858;greed
1733270400000;57.48571428571429;greed
1733356800000;54.91428571428572;neutral
1733443200000;52.142857142857146;neutral
1733702400000;49.25714285714287;neutral
1733788800000;46.971428571428575;neutral
1733875200000;49.2;neutral
1733961600000;47.114285714285714;neutral
1734048000000;49.114285714285714;neutral
1734307200000;56.057142857142864;greed
1734393600000;51.4;neutral
1734480000000;33.12857142857143;fear
1734566400000;19.514285714285716;extreme fear
1734652800000;27.600000000000005;fear
1734912000000;30.142857142857146;fear
1734998400000;34.51428571428571;fear
1735171200000;34.17142857142857;fear
1735257600000;33.82857142857143;fear
1735516800000;28.6;fear
1735603200000;26.314285714285713;fear
1735776000000;24.314285714285717;extreme fear
1735862400000;28.885714285714283;fear
1736121600000;33.77142857142857;fear
1736208000000;34.31428571428572;fear
1736294400000;31.914285714285718;fear
1736467200000;25.62857142857143;fear
1736726400000;25.34285714285715;fear
1736812800000;25.142857142857142;fear
1736899200000;27.428571428571427;fear
1736985600000;27.342857142857145;fear
1737072000000;36.02857142857143;fear
1737417600000;39.91428571428572;fear
1737504000000;41.62857142857143;fear
1737590400000;43.68571428571429;fear
1737676800000;45.800000000000004;neutral
1737936000000;37.971428571428575;fear
1738022400000;40.62857142857143;fear
1738108800000;42.4;fear
1738195200000;45.91428571428571;neutral
1738281600000;43.771428571428565;fear
1738540800000;37.4;fear
1738627200000;37.142857142857146;fear
1738713600000;38.62857142857143;fear
1738800000000;39.68571428571429;fear
1738886400000;38.371428571428574;fear
1739145600000;44.714285714285715;fear
1739232000000;45.4;neutral
1739318400000;41.371428571428574;fear
1739404800000;46.60000000000001;neutral
1739491200000;43.68571428571429;fear
1739836800000;46.800000000000004;neutral
1739923200000;47.628571428571426;neutral
1740009600000;44.228571428571435;fear
1740096000000;36.971428571428575;fear
1740355200000;29.542857142857144;fear
1740441600000;24.199999999999996;extreme fear
1740528000000;21.25714285714286;extreme fear
1740614400000;12.757142857142858;extreme fear
1740700800000;20.657142857142855;extreme fear
1740960000000;12.342857142857143;extreme fear
1741046400000;11.042857142857143;extreme fear
1741132800000;11.514285714285714;extreme fear
1741219200000;17.2;extreme fear
1741305600000;17.642857142857146;extreme fear
1741564800000;17.071428571428573;extreme fear
1741651200000;15.114285714285716;extreme fear
1741737600000;15.914285714285715;extreme fear
1741824000000;15.185714285714287;extreme fear
1741910400000;22.057142857142857;extreme fear
1742169600000;22.571428571428573;extreme fear
1742256000000;22.228571428571428;extreme fear
1742342400000;24.4285714285714;extreme fear
1742428800000;24;extreme fear
1742515200000;25.0285714285714;fear
1742774400000;29.7714285714286;fear
1742860800000;30.4571428571429;fear
1742947200000;27.8;fear
1743033600000;28.5428571428571;fear
1743120000000;21.7428571428571;extreme fear
1743379200000;19.2857142857143;extreme fear
1743465600000;15.6285714285714;extreme fear
1743552000000;18.6408163265306;extreme fear
1743638400000;6.04346076458752;extreme fear
1743724800000;3.9984126984127;extreme fear
1743984000000;4.5334637964775;extreme fear
1744070400000;3.38610038610039;extreme fear
1744156800000;12.2666666666667;extreme fear
1744243200000;8.30751879699248;extreme fear
1744329600000;19.3643784786642;extreme fear
1744588800000;19.5882783882784;extreme fear
1744675200000;18.2144665461121;extreme fear
1744761600000;14.4428571428571;extreme fear
1744848000000;20.3571428571429;extreme fear
1744934400000;19.4714285714286;extreme fear
1745193600000;21.6447971781305;extreme fear
1745280000000;26.2;fear
1745366400000;28.4285714285714;fear
1745452800000;36.8571428571429;fear
1745539200000;35.3714285714286;fear
1745798400000;36.3142857142857;fear
1745884800000;35.7714285714286;fear
1745971200000;42.6857142857143;fear
1746057600000;41.4857142857143;fear
1746144000000;54.4285714285714;neutral
1746403200000;58.2571428571429;greed
1746489600000;55.0285714285714;greed
1746576000000;59.2285714285714;greed
1746662400000;61.4857142857143;greed
1746748800000;62.9714285714286;greed
1747008000000;66.4857142857143;greed
1747094400000;69;greed
1747180800000;70.4285714285714;greed
1747267200000;69.1714285714286;greed
1747353600000;70.4;greed
1747612800000;69.4;greed
1747699200000;68.7428571428571;greed
1747785600000;65.6857142857143;greed
1747872000000;65.6;greed
1747958400000;63.8857142857143;greed
1748304000000;65.3142857142857;greed
1748390400000;63.8571428571429;greed
1748476800000;62.4;greed
1748563200000;61.6;greed
1748822400000;54.3142857142857;neutral
1748908800000;56.1142857142857;greed
1748995200000;59.1142857142857;greed
1749081600000;59.3714285714286;greed
1749168000000;60.8571428571429;greed
1749427200000;61.7714285714286;greed
1749513600000;63.6;greed
1749600000000;61.6571428571429;greed
1749686400000;60.1142857142857;greed
1749772800000;59.8857142857143;greed
1749859198000;59.8857142857143;greed